Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,86338,2013,12,25,29.2
IDCJAC0016,86338,2013,12,26,20.8
IDCJAC0016,86338,2013,12,27,28.6
IDCJAC0016,86338,2013,12,28,30
IDCJAC0016,86338,2013,12,29,33.8
IDCJAC0016,86338,2013,12,30,34.1
IDCJAC0016,86338,2013,12,31,33.3
IDCJAC0016,86338,2014,1,1,2.7
IDCJAC0016,86338,2014,1,2,25.8
IDCJAC0016,86338,2014,1,3,28.8
IDCJAC0016,86338,2014,1,4,13.4
IDCJAC0016,86338,2014,1,5,25.6
IDCJAC0016,86338,2014,1,6,24.4
IDCJAC0016,86338,2014,1,7,22.2
IDCJAC0016,86338,2014,1,8,32.7
IDCJAC0016,86338,2014,1,9,27.5
IDCJAC0016,86338,2014,1,10,27.9
IDCJAC0016,86338,2014,1,11,20.3
IDCJAC0016,86338,2014,1,12,24.6
IDCJAC0016,86338,2014,1,13,32.1
IDCJAC0016,86338,2014,1,14,30.2
IDCJAC0016,86338,2014,1,15,25.6
IDCJAC0016,86338,2014,1,16,25.9
IDCJAC0016,86338,2014,1,17,28.7
IDCJAC0016,86338,2014,1,18,16.7
IDCJAC0016,86338,2014,1,19,25.6
IDCJAC0016,86338,2014,1,20,23.1
IDCJAC0016,86338,2014,1,21,23.2
IDCJAC0016,86338,2014,1,22,31.7
IDCJAC0016,86338,2014,1,23,30.9
IDCJAC0016,86338,2014,1,24,11.3
IDCJAC0016,86338,2014,1,25,29.7
IDCJAC0016,86338,2014,1,26,31.1
IDCJAC0016,86338,2014,1,27,30.5
IDCJAC0016,86338,2014,1,28,28.2
IDCJAC0016,86338,2014,1,29,26.1
IDCJAC0016,86338,2014,1,30,27.8
IDCJAC0016,86338,2014,1,31,27.2
IDCJAC0016,86338,2014,2,1,27.6
IDCJAC0016,86338,2014,2,2,29.7
IDCJAC0016,86338,2014,2,3,7.4
IDCJAC0016,86338,2014,2,4,27.6
IDCJAC0016,86338,2014,2,5,29
IDCJAC0016,86338,2014,2,6,27.7
IDCJAC0016,86338,2014,2,7,25.6
IDCJAC0016,86338,2014,2,8,27.9
IDCJAC0016,86338,2014,2,9,27.3
IDCJAC0016,86338,2014,2,10,28.7
IDCJAC0016,86338,2014,2,11,28.1
IDCJAC0016,86338,2014,2,12,21
IDCJAC0016,86338,2014,2,13,8.4
IDCJAC0016,86338,2014,2,14,10.2
IDCJAC0016,86338,2014,2,15,14.7
IDCJAC0016,86338,2014,2,16,20.8
IDCJAC0016,86338,2014,2,17,24.2
IDCJAC0016,86338,2014,2,18,26.3
IDCJAC0016,86338,2014,2,19,11.2
IDCJAC0016,86338,2014,2,20,16.7
IDCJAC0016,86338,2014,2,21,17.5
IDCJAC0016,86338,2014,2,22,9.5
IDCJAC0016,86338,2014,2,23,26.2
IDCJAC0016,86338,2014,2,24,24.8
IDCJAC0016,86338,2014,2,25,14.7
IDCJAC0016,86338,2014,2,26,16.6
IDCJAC0016,86338,2014,2,27,21.5
IDCJAC0016,86338,2014,2,28,25.1
IDCJAC0016,86338,2014,3,1,16.7
IDCJAC0016,86338,2014,3,2,19.6
IDCJAC0016,86338,2014,3,3,23.1
IDCJAC0016,86338,2014,3,4,20.9
